[32mModel Training completed successfully in time 0.5206120014190674![0m

{'mse': np.float64(1.260163502893474), 'rmse': np.float64(1.1225700436469317), 'r2': np.float64(-0.2601635028918372)}
{'mse': np.float64(1.25969175202989), 'rmse': np.float64(1.1223599030747178), 'r2': np.float64(-0.259691752028254)}
{'mse': np.float64(1.2591082920580172), 'rmse': np.float64(1.1220999474458668), 'r2': np.float64(-0.2591082920563821)}
{'mse': np.float64(1.2581881783090905), 'rmse': np.float64(1.1216898761730403), 'r2': np.float64(-0.25818817830745644)}
{'mse': np.float64(1.2567163656868465), 'rmse': np.float64(1.121033614878183), 'r2': np.float64(-0.2567163656852145)}
{'mse': np.float64(1.2556018797801825), 'rmse': np.float64(1.1205364250126733), 'r2': np.float64(-0.25560187977855175)}
{'mse': np.float64(1.2565145745180364), 'rmse': np.float64(1.1209436089821987), 'r2': np.float64(-0.2565145745164046)}
{'mse': np.float64(1.2549657223369792), 'rmse': np.float64(1.1202525261462164), 'r2': np.float64(-0.2549657223353494)}
{'mse': np.float64(1.2543920812987226), 'rmse': np.float64(1.119996464859922), 'r2': np.float64(-0.25439208129709345)}
{'mse': np.float64(1.2544495705018386), 'rmse': np.float64(1.1200221294696988), 'r2': np.float64(-0.25444957050020944)}
{'mse': np.float64(1.2530153572939284), 'rmse': np.float64(1.1193816852592902), 'r2': np.float64(-0.25301535729230107)}
{'mse': np.float64(1.2523544233053403), 'rmse': np.float64(1.1190864235193545), 'r2': np.float64(-0.2523544233037138)}
{'mse': np.float64(1.2511868395171557), 'rmse': np.float64(1.1185646335894746), 'r2': np.float64(-0.2511868395155308)}
{'mse': np.float64(1.24977476664286), 'rmse': np.float64(1.117933256792578), 'r2': np.float64(-0.24977476664123688)}
{'mse': np.float64(1.2491342974035067), 'rmse': np.float64(1.117646767723822), 'r2': np.float64(-0.2491342974018842)}
{'mse': np.float64(1.247698010002329), 'rmse': np.float64(1.1170040331182018), 'r2': np.float64(-0.24769801000070846)}
{'mse': np.float64(1.2467518783466351), 'rmse': np.float64(1.1165804397116381), 'r2': np.float64(-0.246751878345016)}
{'mse': np.float64(1.2464544433198543), 'rmse': np.float64(1.1164472416195288), 'r2': np.float64(-0.2464544433182354)}
{'mse': np.float64(1.2459362721625071), 'rmse': np.float64(1.1162151549600583), 'r2': np.float64(-0.2459362721608891)}
{'mse': np.float64(1.244870916966993), 'rmse': np.float64(1.1157378352314637), 'r2': np.float64(-0.24487091696537622)}
{'mse': np.float64(1.243495065326107), 'rmse': np.float64(1.1151210989511888), 'r2': np.float64(-0.24349506532449205)}
{'mse': np.float64(1.2428038326979034), 'rmse': np.float64(1.114811119740875), 'r2': np.float64(-0.24280383269628936)}
{'mse': np.float64(1.2415554309003571), 'rmse': np.float64(1.1142510627773066), 'r2': np.float64(-0.24155543089874465)}
{'mse': np.float64(1.240061156553484), 'rmse': np.float64(1.1135803323305795), 'r2': np.float64(-0.24006115655187354)}
{'mse': np.float64(1.2397192926874683), 'rmse': np.float64(1.113426824127867), 'r2': np.float64(-0.23971929268585823)}
{'mse': np.float64(1.238655432627329), 'rmse': np.float64(1.1129489802445254), 'r2': np.float64(-0.2386554326257202)}
{'mse': np.float64(1.238221684128435), 'rmse': np.float64(1.1127540986796836), 'r2': np.float64(-0.23822168412682698)}
{'mse': np.float64(1.2362164423487958), 'rmse': np.float64(1.1118527071284199), 'r2': np.float64(-0.2362164423471902)}
{'mse': np.float64(1.2354217864115993), 'rmse': np.float64(1.1114952930226918), 'r2': np.float64(-0.23542178640999478)}
{'mse': np.float64(1.2349888306281893), 'rmse': np.float64(1.1113005131953235), 'r2': np.float64(-0.2349888306265855)}
{'mse': np.float64(1.2352262323105327), 'rmse': np.float64(1.1114073206122643), 'r2': np.float64(-0.23522623230892847)}
{'mse': np.float64(1.2333622781732223), 'rmse': np.float64(1.1105684482161478), 'r2': np.float64(-0.2333622781716207)}
{'mse': np.float64(1.232199613499667), 'rmse': np.float64(1.1100448700388947), 'r2': np.float64(-0.23219961349806661)}
{'mse': np.float64(1.232459248166167), 'rmse': np.float64(1.1101618117041168), 'r2': np.float64(-0.2324592481645662)}
{'mse': np.float64(1.2327232049378385), 'rmse': np.float64(1.1102806874560318), 'r2': np.float64(-0.23272320493623755)}
{'mse': np.float64(1.231674063791822), 'rmse': np.float64(1.1098081202585526), 'r2': np.float64(-0.23167406379022237)}
{'mse': np.float64(1.2304192748953628), 'rmse': np.float64(1.109242658256237), 'r2': np.float64(-0.2304192748937648)}
