[32mModel Training completed successfully in time 12.490446090698242![0m

{'epoch': 45, 'mse': np.float64(1.068813201377341), 'rmse': np.float64(1.0338342233536966), 'r2': np.float64(-0.06881320137595304)}
{'epoch': 46, 'mse': np.float64(1.0670695464807844), 'rmse': np.float64(1.032990583926487), 'r2': np.float64(-0.06706954647939845)}
{'epoch': 47, 'mse': np.float64(1.065386606532895), 'rmse': np.float64(1.0321756665088047), 'r2': np.float64(-0.06538660653151118)}
{'epoch': 48, 'mse': np.float64(1.0637618571602747), 'rmse': np.float64(1.0313883154080594), 'r2': np.float64(-0.06376185715889315)}
{'epoch': 49, 'mse': np.float64(1.062192889279096), 'rmse': np.float64(1.0306274250567447), 'r2': np.float64(-0.06219288927771638)}
{'epoch': 50, 'mse': np.float64(1.0606774037902018), 'rmse': np.float64(1.0298919379188294), 'r2': np.float64(-0.06067740378882425)}
{'epoch': 51, 'mse': np.float64(1.0592132064803927), 'rmse': np.float64(1.0291808424569477), 'r2': np.float64(-0.059213206479016955)}
{'epoch': 52, 'mse': np.float64(1.0577982031285589), 'rmse': np.float64(1.0284931711628225), 'r2': np.float64(-0.05779820312718509)}
{'epoch': 53, 'mse': np.float64(1.0564303948141465), 'rmse': np.float64(1.0278279986525696), 'r2': np.float64(-0.056430394812774454)}
{'epoch': 54, 'mse': np.float64(1.0551078734245036), 'rmse': np.float64(1.0271844398278742), 'r2': np.float64(-0.05510787342313339)}
{'epoch': 55, 'mse': np.float64(1.0538288173568888), 'rmse': np.float64(1.0265616481034585), 'r2': np.float64(-0.053828817355520364)}
{'epoch': 56, 'mse': np.float64(1.0525914874102935), 'rmse': np.float64(1.0259588137007711), 'r2': np.float64(-0.052591487408926385)}
{'epoch': 57, 'mse': np.float64(1.0513942228617983), 'rmse': np.float64(1.0253751620074472), 'r2': np.float64(-0.051394222860432714)}
{'epoch': 58, 'mse': np.float64(1.0502354377217809), 'rmse': np.float64(1.0248099520017264), 'r2': np.float64(-0.05023543772041683)}
{'epoch': 59, 'mse': np.float64(1.049113617162077), 'rmse': np.float64(1.0242624747407654), 'r2': np.float64(-0.049113617160714496)}
{'epoch': 60, 'mse': np.float64(1.0480273141110052), 'rmse': np.float64(1.0237320519115367), 'r2': np.float64(-0.048027314109644115)}
{'epoch': 61, 'mse': np.float64(1.04697514600907), 'rmse': np.float64(1.0232180344428405), 'r2': np.float64(-0.046975146007710133)}
{'epoch': 62, 'mse': np.float64(1.0459557917191233), 'rmse': np.float64(1.0227198011768048), 'r2': np.float64(-0.04595579171776487)}
{'epoch': 63, 'mse': np.float64(1.0449679885847794), 'rmse': np.float64(1.0222367575981501), 'r2': np.float64(-0.044967988583422214)}
{'epoch': 64, 'mse': np.float64(1.04401052963092), 'rmse': np.float64(1.0217683346194086), 'r2': np.float64(-0.04401052962956409)}
